transaction_id,user_id,transaction_date,category,description,amount_inr,payment_method
1,1,2024-01-08,Food,Food & groceries,1381.31,Debit Card
2,1,2024-01-24,Food,Food & groceries,346.04,Net Banking
3,1,2024-01-01,Food,Food & groceries,863.51,UPI
4,1,2024-01-01,Food,Food & groceries,998.68,Net Banking
5,1,2024-01-18,Food,Food & groceries,1232.81,Cash
6,1,2024-01-26,Food,Food & groceries,1134.61,UPI
7,1,2024-01-14,Healthcare,Medicine / consultation,689.06,Credit Card
8,1,2024-01-25,Food,Food & groceries,528.81,Credit Card
9,1,2024-01-12,Food,Food & groceries,795.48,Credit Card
10,1,2024-01-24,Entertainment,Movie / subscription,1481.76,Cash
11,1,2024-01-13,Shopping,Personal shopping,3413.97,UPI
12,1,2024-01-20,Shopping,Personal shopping,2954.09,Credit Card
13,1,2024-02-22,Food,Food & groceries,292.68,Debit Card
14,1,2024-02-28,Healthcare,Medicine / consultation,2959.36,Debit Card
15,1,2024-02-15,Travel,Trip / hotel / tickets,2904.73,Credit Card
16,1,2024-02-22,Food,Food & groceries,755.54,Credit Card
17,1,2024-02-03,Utilities,Electricity / mobile / internet,1630.39,Net Banking
18,1,2024-02-08,Entertainment,Movie / subscription,1031.33,Debit Card
19,1,2024-02-21,Shopping,Personal shopping,1163.83,Net Banking
20,1,2024-02-25,Food,Food & groceries,705.34,UPI
21,1,2024-02-11,Food,Food & groceries,232.0,Cash
22,1,2024-02-19,Food,Food & groceries,521.79,Credit Card
23,1,2024-02-29,Food,Food & groceries,988.75,Cash
24,1,2024-03-18,Food,Food & groceries,579.54,Net Banking
25,1,2024-03-29,Food,Food & groceries,1127.03,Net Banking
26,1,2024-03-05,Transport,Fuel / cab / metro,325.64,Net Banking
27,1,2024-03-28,Shopping,Personal shopping,2718.5,UPI
28,1,2024-03-22,Food,Food & groceries,439.17,Cash
29,1,2024-03-20,Entertainment,Movie / subscription,784.87,Cash
30,1,2024-03-28,Shopping,Personal shopping,3407.45,UPI
31,1,2024-03-29,Utilities,Electricity / mobile / internet,606.19,Net Banking
32,1,2024-04-10,Healthcare,Medicine / consultation,1185.48,Cash
33,1,2024-04-24,Food,Food & groceries,185.26,Credit Card
34,1,2024-04-17,Other,Miscellaneous expense,1166.75,UPI
35,1,2024-04-21,Travel,Trip / hotel / tickets,2430.98,Net Banking
36,1,2024-04-25,Entertainment,Movie / subscription,402.18,Debit Card
37,1,2024-04-17,Shopping,Personal shopping,2791.6,UPI
38,1,2024-04-04,Entertainment,Movie / subscription,956.2,Credit Card
39,1,2024-04-10,Travel,Trip / hotel / tickets,5523.66,Debit Card
40,1,2024-04-03,Housing,Monthly rent / maintenance,16902.09,UPI
41,1,2024-05-25,Shopping,Personal shopping,521.48,Net Banking
42,1,2024-05-16,Healthcare,Medicine / consultation,603.08,Net Banking
43,1,2024-05-20,Food,Food & groceries,1034.83,Cash
44,1,2024-05-25,Other,Miscellaneous expense,1400.48,Debit Card
45,1,2024-05-22,Utilities,Electricity / mobile / internet,1118.19,Credit Card
46,1,2024-05-04,Transport,Fuel / cab / metro,659.68,Debit Card
47,1,2024-05-19,Food,Food & groceries,727.7,Net Banking
48,1,2024-05-03,Food,Food & groceries,536.75,UPI
49,1,2024-05-28,Food,Food & groceries,1646.78,Credit Card
50,1,2024-05-22,Food,Food & groceries,565.57,Cash
51,1,2024-05-30,Food,Food & groceries,394.35,Net Banking
52,1,2024-05-16,Entertainment,Movie / subscription,550.95,Cash
53,1,2024-06-12,Food,Food & groceries,1247.55,Cash
54,1,2024-06-02,Transport,Fuel / cab / metro,1047.5,UPI
55,1,2024-06-26,Housing,Monthly rent / maintenance,15553.92,UPI
56,1,2024-06-15,Food,Food & groceries,488.14,Debit Card
57,1,2024-06-08,Transport,Fuel / cab / metro,391.97,UPI
58,1,2024-06-18,Shopping,Personal shopping,3056.32,UPI
59,1,2024-06-27,Housing,Monthly rent / maintenance,17993.54,UPI
60,1,2024-06-28,Other,Miscellaneous expense,1396.91,Debit Card
61,1,2024-07-28,Transport,Fuel / cab / metro,619.12,Cash
62,1,2024-07-01,Travel,Trip / hotel / tickets,1654.9,Cash
63,1,2024-07-15,Food,Food & groceries,1450.19,Credit Card
64,1,2024-07-26,Transport,Fuel / cab / metro,1152.2,Net Banking
65,1,2024-07-07,Utilities,Electricity / mobile / internet,1276.01,Credit Card
66,1,2024-07-24,Food,Food & groceries,274.74,Net Banking
67,1,2024-07-02,Housing,Monthly rent / maintenance,11822.44,Net Banking
68,1,2024-07-17,Shopping,Personal shopping,3242.04,Debit Card
69,1,2024-08-06,Other,Miscellaneous expense,212.16,UPI
70,1,2024-08-08,Entertainment,Movie / subscription,1264.1,Cash
71,1,2024-08-08,Food,Food & groceries,1622.27,Net Banking
72,1,2024-08-14,Entertainment,Movie / subscription,1171.98,Net Banking
73,1,2024-08-09,Entertainment,Movie / subscription,672.01,Debit Card
74,1,2024-08-09,Utilities,Electricity / mobile / internet,965.53,Cash
75,1,2024-08-15,Food,Food & groceries,1225.71,Credit Card
76,1,2024-09-19,Housing,Monthly rent / maintenance,14590.43,UPI
77,1,2024-09-09,Food,Food & groceries,525.31,Debit Card
78,1,2024-09-29,Other,Miscellaneous expense,1333.21,Debit Card
79,1,2024-09-27,Transport,Fuel / cab / metro,256.68,Net Banking
80,1,2024-09-26,Utilities,Electricity / mobile / internet,1501.02,Net Banking
81,1,2024-09-10,Housing,Monthly rent / maintenance,16353.94,UPI
82,1,2024-09-04,Other,Miscellaneous expense,288.01,UPI
83,1,2024-10-20,Shopping,Personal shopping,1171.51,Debit Card
84,1,2024-10-21,Utilities,Electricity / mobile / internet,766.48,Credit Card
85,1,2024-10-30,Shopping,Personal shopping,1103.59,UPI
86,1,2024-10-09,Food,Food & groceries,866.19,UPI
87,1,2024-10-21,Housing,Monthly rent / maintenance,15940.07,Credit Card
88,1,2024-10-23,Food,Food & groceries,895.77,Cash
89,1,2024-10-31,Entertainment,Movie / subscription,334.59,Debit Card
90,1,2024-10-19,Shopping,Personal shopping,2970.7,Net Banking
91,1,2024-10-10,Food,Food & groceries,386.46,Credit Card
92,1,2024-10-28,Travel,Trip / hotel / tickets,5317.51,UPI
93,1,2024-10-08,Travel,Trip / hotel / tickets,1918.44,UPI
94,1,2024-10-28,Transport,Fuel / cab / metro,707.07,Cash
95,1,2024-11-08,Healthcare,Medicine / consultation,2795.85,Debit Card
96,1,2024-11-29,Other,Miscellaneous expense,1235.08,Cash
97,1,2024-11-11,Housing,Monthly rent / maintenance,15629.08,Cash
98,1,2024-11-26,Education,Course / books,3956.26,Debit Card
99,1,2024-11-04,Food,Food & groceries,1455.55,Cash
100,1,2024-11-08,Travel,Trip / hotel / tickets,5679.84,Debit Card
101,1,2024-11-10,Education,Course / books,2341.21,Debit Card
102,1,2024-11-13,Food,Food & groceries,1249.25,Credit Card
103,1,2024-11-25,Food,Food & groceries,292.46,Credit Card
104,1,2024-11-22,Transport,Fuel / cab / metro,650.53,Net Banking
105,1,2024-11-29,Transport,Fuel / cab / metro,110.91,Credit Card
106,1,2024-12-02,Entertainment,Movie / subscription,1772.86,UPI
107,1,2024-12-26,Entertainment,Movie / subscription,720.38,Credit Card
108,1,2024-12-04,Transport,Fuel / cab / metro,1182.34,Cash
109,1,2024-12-02,Travel,Trip / hotel / tickets,1802.46,Cash
110,1,2024-12-18,Housing,Monthly rent / maintenance,17330.18,Debit Card
111,1,2024-12-22,Transport,Fuel / cab / metro,158.37,Credit Card
112,1,2024-12-04,Entertainment,Movie / subscription,1244.59,Credit Card
113,1,2024-12-11,Shopping,Personal shopping,2434.06,Cash
114,1,2025-01-14,Transport,Fuel / cab / metro,222.56,Cash
115,1,2025-01-20,Utilities,Electricity / mobile / internet,2025.05,Net Banking
116,1,2025-01-01,Transport,Fuel / cab / metro,693.69,Credit Card
117,1,2025-01-19,Food,Food & groceries,876.42,Net Banking
118,1,2025-01-15,Utilities,Electricity / mobile / internet,1236.98,Debit Card
119,1,2025-01-31,Shopping,Personal shopping,2839.95,Debit Card
120,1,2025-01-22,Utilities,Electricity / mobile / internet,910.82,Net Banking
121,1,2025-01-25,Transport,Fuel / cab / metro,996.63,Debit Card
122,1,2025-01-07,Utilities,Electricity / mobile / internet,804.35,Debit Card
123,1,2025-01-16,Housing,Monthly rent / maintenance,11203.58,Net Banking
124,1,2025-01-14,Education,Course / books,791.31,Net Banking
125,1,2025-01-16,Food,Food & groceries,1308.09,Cash
126,1,2025-02-25,Food,Food & groceries,1293.95,UPI
127,1,2025-02-26,Healthcare,Medicine / consultation,851.81,Net Banking
